"å⁄ãqID","ìXï‹","çwîÉì˙","çwîÉéûä‘","è§ïiÉJÉeÉSÉä","çwîÉã‡äz"
"ID00001","B",20130202,14.61,"C28",332
"ID00001","A",20130204,18.29,"C1",254
"ID00001","B",20130219,17.14,"C27",385
"ID00002","C",20130226,14.48,"C2",298
"ID00002","C",20130228,14.22,"C4",23
"ID00003","B",20130220,18.45,"C18",348
"ID00004","A",20130206,14.88,"C29",294
"ID00004","B",20130207,16.3,"C9",367
"ID00004","A",20130213,16,"C9",289
"ID00004","C",20130218,17.31,"C29",386
"ID00004","C",20130219,15.46,"C12",323
"ID00005","B",20130210,14.95,"C24",418
"ID00005","C",20130212,17.98,"C13",217
"ID00005","C",20130220,15.64,"C3",371
"ID00005","B",20130223,15.48,"C8",285
"ID00005","C",20130228,15.51,"C14",313
"ID00007","C",20130203,15.12,"C3",170
"ID00008","B",20130206,17.27,"C12",266
"ID00009","B",20130205,16.29,"C10",260
"ID00010","C",20130207,15.76,"C4",352
"ID00011","C",20130213,17.7,"C13",394
"ID00011","C",20130220,14.39,"C10",309
"ID00012","B",20130206,12.51,"C21",251
"ID00012","A",20130226,18.7,"C20",258
"ID00013","C",20130205,16.91,"C11",197
"ID00013","A",20130209,16.58,"C22",128
"ID00013","A",20130213,16.2,"C30",296
"ID00013","C",20130214,16.02,"C25",264
"ID00013","C",20130218,16.35,"C8",351
"ID00014","C",20130210,13.26,"C24",326
"ID00014","C",20130212,14.07,"C15",252
"ID00014","A",20130216,15.17,"C19",178
"ID00014","C",20130225,14.78,"C6",222
"ID00015","C",20130205,16.84,"C1",244
"ID00015","A",20130220,15.56,"C29",302
"ID00016","A",20130215,15.79,"C22",203
"ID00017","A",20130201,15.4,"C30",380
"ID00017","C",20130206,16.18,"C6",314
"ID00018","B",20130207,17.52,"C8",240
"ID00018","B",20130210,16.63,"C1",286
"ID00019","B",20130202,20.95,"C6",221
"ID00019","C",20130207,14.12,"C14",134
"ID00019","C",20130216,14.27,"C3",362
"ID00020","C",20130201,14.28,"C14",344
"ID00020","C",20130205,15.26,"C15",215
"ID00020","C",20130225,16.79,"C24",371
"ID00021","B",20130201,13.91,"C26",293
"ID00021","C",20130219,16.26,"C2",366
"ID00022","A",20130210,14.23,"C5",218
"ID00022","B",20130210,14.6,"C11",364
"ID00022","C",20130225,15.68,"C9",200
"ID00023","C",20130205,15.21,"C26",161
"ID00023","C",20130212,16.1,"C17",267
"ID00023","C",20130219,14.22,"C17",214
"ID00023","C",20130223,15.11,"C8",287
"ID00023","B",20130224,14.31,"C24",521
"ID00023","C",20130224,18.06,"C19",346
"ID00024","C",20130201,16.48,"C6",195
"ID00024","B",20130207,16.23,"C12",307
"ID00024","C",20130209,14.39,"C3",321
"ID00024","C",20130213,15.89,"C11",303
"ID00025","B",20130201,13.98,"C7",337
"ID00025","A",20130223,18.21,"C10",200
"ID00025","A",20130224,17.34,"C16",199
"ID00025","C",20130226,14.53,"C11",255
"ID00026","B",20130217,13.51,"C2",345
"ID00026","B",20130219,16.04,"C4",321
"ID00027","B",20130203,16.69,"C30",257
"ID00027","C",20130205,16.04,"C20",222
"ID00027","C",20130211,13.74,"C27",226
"ID00027","B",20130215,14.94,"C28",277
"ID00027","C",20130220,15.26,"C21",412
"ID00028","B",20130204,18.91,"C26",301
"ID00028","C",20130209,14.66,"C15",306
"ID00028","C",20130215,17.44,"C1",262
"ID00028","C",20130220,15.21,"C15",432
"ID00029","C",20130201,15.03,"C29",392
"ID00029","C",20130210,15.81,"C20",197
"ID00029","B",20130220,15.89,"C5",310
"ID00030","B",20130202,13.54,"C14",265
"ID00030","C",20130213,15.99,"C24",359
"ID00030","B",20130226,18.98,"C9",314
"ID00031","C",20130217,16.13,"C12",252
"ID00032","C",20130202,15.84,"C23",311
"ID00032","C",20130220,18.4,"C15",253
"ID00032","C",20130225,17.17,"C29",331
"ID00033","B",20130208,17.1,"C9",214
"ID00033","B",20130215,16.88,"C24",269
"ID00034","A",20130201,14.62,"C23",162
"ID00035","B",20130215,16.83,"C24",192
"ID00035","C",20130220,17,"C3",308
