"å⁄ãqID","ìXï‹","çwîÉì˙","çwîÉéûä‘","è§ïiÉJÉeÉSÉä","çwîÉã‡äz"
"ID00001","B",20130108,15.6,"C4",322
"ID00002","B",20130101,17.6,"C25",320
"ID00002","B",20130110,17.71,"C1",383
"ID00002","B",20130131,15.65,"C25",222
"ID00003","C",20130102,17.25,"C14",365
"ID00003","C",20130111,13.45,"C24",445
"ID00003","A",20130112,16.07,"C18",306
"ID00003","A",20130119,14.26,"C24",337
"ID00003","B",20130128,13.78,"C14",303
"ID00004","C",20130123,13.57,"C25",429
"ID00004","C",20130125,14.22,"C16",234
"ID00005","C",20130127,16.21,"C14",185
"ID00006","C",20130109,13.94,"C2",357
"ID00006","C",20130109,17.49,"C21",349
"ID00006","C",20130119,16.55,"C10",250
"ID00006","C",20130127,15.11,"C8",232
"ID00007","A",20130104,16.78,"C14",282
"ID00007","B",20130109,17.84,"C19",163
"ID00008","B",20130124,16.38,"C20",284
"ID00008","C",20130128,13.22,"C11",176
"ID00009","C",20130108,15.71,"C16",319
"ID00010","B",20130109,19.01,"C23",313
"ID00010","B",20130113,13.79,"C29",256
"ID00010","C",20130123,15.39,"C18",151
"ID00010","A",20130124,16.62,"C26",382
"ID00010","C",20130129,14.14,"C3",384
"ID00011","C",20130111,16.68,"C16",333
"ID00011","A",20130115,14.57,"C22",223
"ID00011","C",20130126,15.49,"C14",414
"ID00012","A",20130103,15.77,"C13",271
"ID00012","C",20130106,16.44,"C2",318
"ID00012","A",20130108,15.14,"C4",278
"ID00012","B",20130111,16.67,"C12",123
"ID00012","C",20130122,16.3,"C7",297
"ID00013","C",20130101,14.99,"C19",407
"ID00013","C",20130104,16.7,"C18",316
"ID00013","B",20130106,15.55,"C17",343
"ID00013","C",20130108,14.58,"C16",372
"ID00013","C",20130115,16,"C15",300
"ID00014","B",20130117,18.24,"C25",176
"ID00015","C",20130112,15.55,"C28",419
"ID00015","C",20130116,15.93,"C28",422
"ID00015","B",20130120,17.37,"C14",298
"ID00015","C",20130124,14.69,"C27",296
"ID00015","C",20130129,17.12,"C28",363
"ID00016","B",20130102,15.7,"C16",289
"ID00016","A",20130109,14.12,"C16",258
"ID00016","B",20130110,15.68,"C19",293
"ID00016","C",20130119,16.33,"C11",214
"ID00017","A",20130101,14.79,"C26",359
"ID00017","B",20130103,14.3,"C30",241
"ID00017","A",20130103,17.15,"C3",423
"ID00017","A",20130115,17.11,"C8",226
"ID00018","B",20130101,17.32,"C14",203
"ID00018","C",20130103,14.07,"C29",418
"ID00018","C",20130105,15.32,"C11",265
"ID00019","B",20130104,16.4,"C21",156
"ID00019","B",20130113,15.85,"C18",243
"ID00019","C",20130118,18.03,"C28",341
"ID00019","C",20130131,15.72,"C26",243
"ID00020","B",20130107,13.05,"C7",313
"ID00020","C",20130116,14.64,"C17",369
"ID00020","B",20130131,13.27,"C26",421
"ID00022","C",20130107,14.98,"C30",358
"ID00022","B",20130109,14.56,"C6",304
"ID00022","B",20130118,14.98,"C4",343
"ID00022","C",20130121,15.51,"C1",268
"ID00022","C",20130127,17.15,"C26",374
"ID00023","C",20130113,15.1,"C9",114
"ID00023","A",20130130,15.59,"C22",143
"ID00024","C",20130112,16.15,"C12",350
"ID00026","C",20130105,12.49,"C6",478
"ID00026","C",20130113,17.72,"C3",125
"ID00026","A",20130131,17.52,"C14",352
"ID00027","A",20130107,16.89,"C21",389
"ID00027","B",20130125,15.21,"C11",228
"ID00028","A",20130104,15.43,"C7",237
"ID00028","C",20130111,17.37,"C2",328
"ID00028","B",20130120,16.51,"C25",337
"ID00028","C",20130126,16.28,"C2",263
"ID00030","A",20130113,16.54,"C13",461
"ID00030","B",20130118,14.79,"C22",225
"ID00030","C",20130121,17.26,"C19",262
"ID00030","C",20130127,17.71,"C14",359
"ID00031","B",20130102,17.29,"C23",438
"ID00031","C",20130104,15.25,"C5",318
"ID00031","B",20130112,15.87,"C2",268
"ID00031","B",20130127,16.4,"C24",373
"ID00031","C",20130128,13.47,"C27",331
"ID00032","B",20130124,16.08,"C22",302
"ID00033","C",20130116,12.39,"C2",263
"ID00033","C",20130126,15.16,"C2",240
"ID00034","C",20130110,15.72,"C2",316
"ID00035","C",20130104,16.35,"C23",354
"ID00035","B",20130104,18.52,"C9",460
"ID00036","B",20130117,16.98,"C6",259
