"å⁄ãqID","ìXï‹","çwîÉì˙","çwîÉéûä‘","è§ïiÉJÉeÉSÉä","çwîÉã‡äz"
"ID00001","C",20131119,14.42,"C20",386
"ID00002","C",20131121,14.9,"C22",339
"ID00003","B",20131106,14.24,"C29",249
"ID00003","C",20131121,14.9,"C5",345
"ID00005","C",20131104,15.81,"C17",225
"ID00005","C",20131113,16.58,"C10",258
"ID00005","C",20131124,14.99,"C8",326
"ID00005","B",20131128,15.5,"C27",264
"ID00006","C",20131104,17.12,"C30",306
"ID00006","C",20131117,17.44,"C28",309
"ID00006","C",20131118,12.29,"C30",235
"ID00007","C",20131108,16.08,"C20",289
"ID00007","A",20131127,14.06,"C17",291
"ID00008","A",20131112,15.37,"C30",229
"ID00008","B",20131116,16.89,"C30",394
"ID00009","C",20131129,14.83,"C28",436
"ID00010","C",20131111,16.63,"C28",266
"ID00010","B",20131120,14.03,"C5",344
"ID00010","C",20131128,16.13,"C6",374
"ID00011","C",20131117,16.9,"C9",311
"ID00011","C",20131120,15.97,"C6",293
"ID00012","B",20131101,17.47,"C1",385
"ID00012","C",20131108,15.21,"C23",226
"ID00012","B",20131115,15.05,"C22",351
"ID00012","C",20131119,17.2,"C22",313
"ID00012","C",20131122,14.86,"C25",174
"ID00012","C",20131130,16.95,"C11",239
"ID00013","B",20131102,12.71,"C7",275
"ID00013","A",20131125,15.45,"C26",205
"ID00014","C",20131105,17.82,"C26",413
"ID00015","C",20131123,15.67,"C30",368
"ID00017","B",20131108,15.27,"C22",275
"ID00017","C",20131111,15.92,"C29",320
"ID00017","C",20131122,19.33,"C28",301
"ID00018","C",20131102,16.61,"C21",229
"ID00018","C",20131107,15.32,"C9",357
"ID00019","B",20131104,16.96,"C21",440
"ID00019","C",20131110,15.1,"C14",237
"ID00019","B",20131113,14.75,"C16",316
"ID00019","C",20131119,15.6,"C27",274
"ID00020","C",20131113,15.14,"C17",263
"ID00020","C",20131120,17.32,"C3",267
"ID00021","A",20131127,18.54,"C10",176
"ID00021","A",20131130,15.22,"C21",278
"ID00022","C",20131114,17.73,"C3",456
"ID00022","C",20131129,13.72,"C27",276
"ID00023","A",20131123,16.45,"C21",263
"ID00024","A",20131106,19.47,"C12",324
"ID00024","B",20131118,18.63,"C10",276
"ID00025","C",20131112,16.91,"C23",386
"ID00025","B",20131127,17.02,"C16",205
"ID00025","C",20131129,15.97,"C6",305
"ID00026","B",20131115,14.73,"C24",313
"ID00027","C",20131101,17.32,"C2",422
"ID00027","A",20131130,17.5,"C19",197
"ID00028","C",20131105,15.73,"C15",388
"ID00028","B",20131125,15.89,"C9",323
"ID00029","C",20131101,17.84,"C1",121
"ID00029","C",20131115,15.44,"C20",261
"ID00030","C",20131106,16.37,"C5",201
"ID00030","B",20131111,15.14,"C26",347
"ID00030","B",20131113,15.93,"C28",266
"ID00030","C",20131117,13.8,"C1",160
"ID00030","B",20131124,15.63,"C26",359
"ID00030","B",20131128,15.62,"C20",203
"ID00031","C",20131108,16.76,"C26",250
"ID00032","B",20131112,16.71,"C9",191
"ID00032","C",20131121,16.82,"C28",325
"ID00033","C",20131104,13.6,"C12",214
"ID00033","C",20131110,15.14,"C24",386
"ID00033","B",20131110,18.14,"C7",242
"ID00033","B",20131123,16.33,"C22",193
"ID00034","C",20131115,17.53,"C8",254
"ID00034","A",20131124,14.49,"C3",243
