"å⁄ãqID","ìXï‹","çwîÉì˙","çwîÉéûä‘","è§ïiÉJÉeÉSÉä","çwîÉã‡äz"
"ID00001","B",20131012,18.31,"C28",382
"ID00001","B",20131024,15.18,"C4",227
"ID00002","C",20131001,15.94,"C19",296
"ID00002","A",20131007,15.3,"C19",443
"ID00002","C",20131016,16.05,"C14",404
"ID00002","B",20131024,14.07,"C24",244
"ID00002","C",20131028,18.09,"C1",399
"ID00003","B",20131011,14.1,"C19",345
"ID00004","C",20131008,17.99,"C9",377
"ID00004","C",20131010,17.08,"C3",236
"ID00004","A",20131015,17.82,"C27",342
"ID00005","B",20131014,16.91,"C7",333
"ID00005","B",20131024,16.75,"C10",386
"ID00005","C",20131031,15.57,"C24",411
"ID00006","A",20131012,15.23,"C14",399
"ID00006","B",20131017,15.8,"C24",436
"ID00006","C",20131019,16.9,"C26",260
"ID00008","C",20131002,17.19,"C15",446
"ID00008","B",20131012,14.73,"C18",208
"ID00008","A",20131021,15.84,"C11",364
"ID00009","C",20131005,14.35,"C9",302
"ID00010","A",20131012,14.86,"C2",214
"ID00010","C",20131013,18.72,"C3",275
"ID00011","A",20131002,17.89,"C17",386
"ID00011","C",20131023,18.28,"C14",330
"ID00012","B",20131002,15.09,"C20",401
"ID00012","C",20131016,14.25,"C28",4
"ID00012","C",20131017,16.39,"C6",290
"ID00012","C",20131023,14.24,"C1",229
"ID00012","C",20131027,15.87,"C24",368
"ID00013","C",20131007,15.3,"C8",244
"ID00013","C",20131008,15.77,"C14",323
"ID00013","A",20131014,16.12,"C30",301
"ID00013","A",20131026,16.5,"C5",491
"ID00014","C",20131003,17.37,"C8",401
"ID00014","C",20131014,15.11,"C13",201
"ID00015","C",20131002,18.31,"C24",332
"ID00015","C",20131027,16.73,"C2",374
"ID00015","A",20131031,15.54,"C3",183
"ID00016","C",20131022,16.38,"C29",290
"ID00017","A",20131028,17.17,"C27",292
"ID00017","B",20131031,14.73,"C7",374
"ID00018","B",20131017,15.68,"C20",251
"ID00019","A",20131004,17.89,"C12",196
"ID00019","C",20131023,14.04,"C1",187
"ID00019","C",20131028,17.13,"C11",345
"ID00019","C",20131029,18.01,"C16",284
"ID00020","C",20131001,16.15,"C12",208
"ID00020","A",20131015,15.6,"C8",288
"ID00020","C",20131017,15.15,"C23",303
"ID00020","B",20131018,14.23,"C19",374
"ID00021","C",20131011,15.62,"C10",257
"ID00022","B",20131023,15.35,"C21",209
"ID00023","B",20131004,14.01,"C1",229
"ID00025","C",20131005,19.62,"C1",435
"ID00025","C",20131008,12.27,"C16",329
"ID00026","C",20131018,13.31,"C14",334
"ID00027","C",20131001,14.7,"C1",298
"ID00027","A",20131004,16.25,"C1",302
"ID00027","B",20131020,17.41,"C28",349
"ID00028","B",20131003,14.15,"C17",225
"ID00028","C",20131005,17.86,"C6",335
"ID00028","A",20131009,15.45,"C19",220
"ID00028","A",20131020,15.34,"C12",396
"ID00029","C",20131001,18.67,"C16",369
"ID00029","C",20131017,14.32,"C17",322
"ID00029","C",20131018,14.15,"C22",402
"ID00029","C",20131029,14.43,"C26",304
"ID00030","B",20131010,16.89,"C22",421
"ID00030","A",20131011,13.43,"C25",305
"ID00030","A",20131012,14.23,"C2",219
"ID00030","C",20131019,14.04,"C16",261
"ID00030","C",20131020,15.2,"C28",338
"ID00030","B",20131024,15.37,"C7",364
"ID00031","C",20131005,16.32,"C21",235
"ID00031","B",20131018,16.02,"C22",354
"ID00032","A",20131009,15.58,"C6",325
"ID00032","A",20131009,17.44,"C19",337
"ID00032","B",20131010,16.08,"C17",350
"ID00032","C",20131027,19.38,"C5",149
"ID00034","C",20131031,14.57,"C6",303
"ID00035","C",20131023,13.3,"C11",264
"ID00035","C",20131029,15.47,"C7",368
"ID00036","B",20131021,16.55,"C2",278
"ID00036","C",20131030,15.54,"C7",403
