"å⁄ãqID","ìXï‹","çwîÉì˙","çwîÉéûä‘","è§ïiÉJÉeÉSÉä","çwîÉã‡äz"
"ID00001","B",20131215,15.45,"C18",383
"ID00002","A",20131203,15.55,"C16",422
"ID00002","B",20131218,17.27,"C27",229
"ID00002","C",20131220,15.69,"C4",252
"ID00002","C",20131231,16.64,"C16",204
"ID00003","C",20131206,15.22,"C8",440
"ID00003","C",20131210,13.55,"C27",328
"ID00003","A",20131221,14.99,"C10",255
"ID00003","A",20131228,14.02,"C2",337
"ID00003","C",20131228,16.93,"C2",246
"ID00004","B",20131205,14.74,"C11",338
"ID00004","C",20131213,15.29,"C17",330
"ID00004","A",20131229,18.5,"C19",277
"ID00005","B",20131204,16.3,"C18",401
"ID00005","A",20131230,17.84,"C30",419
"ID00006","C",20131202,17.57,"C15",405
"ID00006","A",20131211,14.7,"C3",285
"ID00006","C",20131218,11.29,"C12",248
"ID00006","C",20131227,16.16,"C13",230
"ID00007","C",20131203,16.49,"C20",419
"ID00007","C",20131229,15.1,"C25",340
"ID00007","C",20131229,18.42,"C10",455
"ID00008","C",20131201,16.84,"C14",292
"ID00008","B",20131223,14.2,"C2",346
"ID00008","A",20131225,16.53,"C9",362
"ID00009","B",20131204,17.23,"C28",335
"ID00009","C",20131208,14.85,"C28",347
"ID00010","C",20131210,17.05,"C29",402
"ID00010","A",20131214,15.67,"C26",337
"ID00010","B",20131227,15.95,"C13",287
"ID00010","A",20131231,15.04,"C23",252
"ID00011","B",20131208,13.97,"C23",397
"ID00011","A",20131212,16.76,"C26",351
"ID00011","B",20131225,15.77,"C8",175
"ID00012","A",20131202,16.92,"C6",262
"ID00012","A",20131211,14.66,"C15",138
"ID00014","C",20131202,15.31,"C2",338
"ID00014","A",20131224,14.64,"C6",272
"ID00015","B",20131214,17.46,"C25",131
"ID00015","C",20131217,15.86,"C8",178
"ID00015","C",20131230,17.97,"C16",280
"ID00016","C",20131208,18,"C2",337
"ID00016","B",20131209,16.45,"C2",248
"ID00017","C",20131215,17.1,"C27",211
"ID00017","C",20131217,15.47,"C5",212
"ID00017","B",20131219,15.48,"C14",218
"ID00018","C",20131205,15.55,"C1",305
"ID00018","C",20131208,16.24,"C14",307
"ID00019","C",20131205,14.36,"C1",322
"ID00019","C",20131205,17.1,"C9",287
"ID00019","B",20131218,17.44,"C8",247
"ID00020","B",20131207,15.69,"C3",378
"ID00020","C",20131229,15.98,"C13",310
"ID00020","B",20131231,18.66,"C18",280
"ID00021","A",20131205,14.26,"C26",233
"ID00021","B",20131209,16.9,"C21",313
"ID00021","C",20131228,16.21,"C27",309
"ID00022","A",20131205,16.69,"C26",382
"ID00022","B",20131210,17.07,"C6",401
"ID00023","A",20131211,13.49,"C19",480
"ID00023","B",20131211,14.16,"C1",229
"ID00024","C",20131203,14.87,"C29",261
"ID00024","B",20131228,15.02,"C10",382
"ID00024","A",20131231,12.48,"C26",340
"ID00025","C",20131208,17.56,"C8",379
"ID00025","A",20131210,13.57,"C12",326
"ID00025","A",20131213,16.53,"C15",218
"ID00025","B",20131219,16.94,"C13",282
"ID00025","C",20131231,16.15,"C3",378
"ID00026","C",20131204,16.34,"C23",264
"ID00026","A",20131216,18.47,"C23",320
"ID00027","A",20131201,15.57,"C3",540
"ID00027","C",20131206,16.64,"C16",252
"ID00027","B",20131208,16.69,"C15",265
"ID00027","B",20131212,13.01,"C12",327
"ID00027","C",20131213,15.97,"C30",375
"ID00027","B",20131213,16.37,"C8",210
"ID00028","C",20131211,16.53,"C17",368
"ID00028","A",20131216,17.07,"C30",271
"ID00028","C",20131223,16.91,"C8",258
"ID00029","A",20131227,16.79,"C13",229
"ID00030","B",20131209,13.87,"C12",240
"ID00030","A",20131214,15.24,"C14",321
"ID00030","B",20131215,16.81,"C15",444
"ID00031","A",20131206,13.91,"C29",193
"ID00032","A",20131201,13.76,"C3",301
"ID00032","C",20131211,15.65,"C21",338
"ID00032","A",20131216,14.6,"C2",416
"ID00032","C",20131228,14.31,"C12",411
"ID00033","A",20131229,14.8,"C12",234
"ID00034","C",20131217,18.39,"C4",238
"ID00035","B",20131206,13.61,"C10",329
"ID00035","C",20131209,17.28,"C26",395
"ID00035","A",20131217,16.04,"C23",172
"ID00035","A",20131221,16.37,"C19",376
"ID00035","A",20131231,14.64,"C9",222
