"å⁄ãqID","ìXï‹","çwîÉì˙","çwîÉéûä‘","è§ïiÉJÉeÉSÉä","çwîÉã‡äz"
"ID00001","C",20130407,18.38,"C30",289
"ID00001","C",20130410,16.22,"C30",293
"ID00001","B",20130422,18.83,"C14",122
"ID00002","B",20130402,14.8,"C19",357
"ID00002","A",20130413,15.65,"C18",290
"ID00002","B",20130414,16.53,"C24",379
"ID00002","B",20130415,17.47,"C27",291
"ID00004","A",20130410,14.2,"C22",262
"ID00005","B",20130407,15.56,"C9",105
"ID00005","C",20130409,13.83,"C7",279
"ID00005","B",20130415,14.23,"C3",424
"ID00005","B",20130416,17.32,"C27",298
"ID00005","A",20130430,14.2,"C6",349
"ID00006","C",20130421,16.25,"C27",212
"ID00007","C",20130422,17.31,"C25",308
"ID00008","B",20130408,16.98,"C2",260
"ID00008","B",20130422,16.05,"C28",314
"ID00009","B",20130419,15.5,"C17",314
"ID00010","B",20130410,17.93,"C17",268
"ID00010","C",20130428,14.46,"C11",333
"ID00012","B",20130412,11.41,"C24",440
"ID00012","C",20130430,17.05,"C13",175
"ID00013","B",20130409,17.2,"C17",196
"ID00014","C",20130407,17.49,"C16",406
"ID00015","A",20130404,17.36,"C14",279
"ID00015","B",20130425,15.24,"C27",186
"ID00016","B",20130430,13.97,"C18",195
"ID00017","A",20130420,16.63,"C7",428
"ID00017","C",20130423,14.39,"C21",355
"ID00017","C",20130427,15.48,"C20",398
"ID00019","C",20130427,16.01,"C3",399
"ID00020","C",20130401,15.77,"C7",276
"ID00020","C",20130428,16.43,"C10",444
"ID00021","B",20130427,14.72,"C16",314
"ID00022","B",20130423,17.75,"C25",214
"ID00022","B",20130428,16.21,"C29",248
"ID00023","C",20130401,14.89,"C19",304
"ID00023","B",20130419,18.38,"C19",245
"ID00024","A",20130417,18.05,"C6",344
"ID00024","C",20130424,15.31,"C12",243
"ID00025","A",20130420,14.14,"C2",291
"ID00026","C",20130403,17.48,"C24",326
"ID00027","C",20130421,13.41,"C27",501
"ID00028","A",20130414,13.48,"C3",366
"ID00028","B",20130417,15.23,"C27",229
"ID00028","C",20130425,16.9,"C16",279
"ID00029","B",20130414,16.37,"C20",215
"ID00032","C",20130402,15.14,"C25",359
"ID00032","B",20130404,14.4,"C13",183
"ID00032","A",20130421,15.29,"C1",385
"ID00033","B",20130417,16.86,"C25",347
"ID00033","C",20130422,15.13,"C22",362
"ID00033","B",20130426,17.53,"C27",326
"ID00034","B",20130403,17.19,"C13",272
"ID00034","C",20130404,16.13,"C28",303
"ID00034","C",20130409,18.02,"C5",346
"ID00034","C",20130423,11.72,"C28",285
"ID00034","B",20130430,16.29,"C1",361
"ID00035","C",20130402,17.92,"C10",382
"ID00035","B",20130418,16.25,"C21",344
"ID00035","C",20130424,16.62,"C16",243
"ID00035","C",20130425,15.82,"C27",321
"ID00036","C",20130418,14.67,"C13",319
