"å⁄ãqID","ìXï‹","çwîÉì˙","çwîÉéûä‘","è§ïiÉJÉeÉSÉä","çwîÉã‡äz"
"ID00001","A",20130705,14.39,"C3",328
"ID00002","A",20130710,16.11,"C15",392
"ID00002","C",20130711,14.17,"C29",362
"ID00002","A",20130716,19.7,"C6",206
"ID00002","C",20130722,14.5,"C3",321
"ID00002","C",20130731,17.42,"C9",361
"ID00003","A",20130717,17.72,"C30",334
"ID00004","C",20130717,16.99,"C2",362
"ID00005","B",20130722,16.04,"C19",360
"ID00005","B",20130727,18.04,"C13",495
"ID00006","C",20130703,15.91,"C16",417
"ID00006","C",20130709,15.97,"C19",283
"ID00007","C",20130706,17.61,"C18",163
"ID00007","C",20130717,14.31,"C28",432
"ID00008","A",20130702,14.96,"C25",312
"ID00008","B",20130711,13.12,"C29",362
"ID00008","C",20130729,16.67,"C5",290
"ID00009","B",20130706,17.39,"C9",188
"ID00009","C",20130719,16.77,"C1",264
"ID00009","B",20130721,15.83,"C12",384
"ID00010","A",20130719,15.09,"C27",280
"ID00010","C",20130726,13.98,"C25",225
"ID00010","C",20130727,14.38,"C12",450
"ID00010","C",20130729,15.88,"C13",401
"ID00011","C",20130728,17.87,"C11",303
"ID00012","B",20130705,17.35,"C2",415
"ID00012","B",20130711,17.15,"C17",342
"ID00012","B",20130724,15.43,"C6",293
"ID00013","C",20130707,20.12,"C25",337
"ID00013","B",20130717,15.14,"C19",369
"ID00013","C",20130718,13.79,"C29",227
"ID00013","B",20130719,15.87,"C10",342
"ID00013","C",20130719,16.62,"C11",332
"ID00014","C",20130723,13.99,"C18",297
"ID00014","C",20130730,16.63,"C3",387
"ID00014","B",20130731,13.91,"C7",283
"ID00015","B",20130715,16.29,"C25",129
"ID00015","C",20130729,15.24,"C19",320
"ID00016","C",20130701,13.31,"C27",240
"ID00016","C",20130719,15.55,"C23",113
"ID00017","B",20130725,14.47,"C8",217
"ID00018","B",20130720,16.42,"C28",404
"ID00018","C",20130720,16.45,"C8",215
"ID00018","A",20130725,17.83,"C23",261
"ID00018","B",20130726,13.86,"C19",212
"ID00018","C",20130729,17,"C14",322
"ID00019","A",20130702,15.08,"C29",361
"ID00019","C",20130712,14.76,"C10",406
"ID00019","B",20130731,15.4,"C25",197
"ID00020","A",20130712,14.79,"C13",249
"ID00020","C",20130716,15.74,"C3",303
"ID00020","C",20130719,14.43,"C17",226
"ID00020","B",20130720,12.74,"C30",604
"ID00020","A",20130721,18.13,"C15",193
"ID00020","A",20130725,15.25,"C2",272
"ID00020","A",20130730,18.51,"C5",317
"ID00021","B",20130704,15.99,"C12",350
"ID00021","A",20130719,17.74,"C29",276
"ID00022","C",20130712,15.56,"C1",259
"ID00022","C",20130726,14.51,"C29",421
"ID00023","C",20130720,17.12,"C22",377
"ID00023","C",20130722,18.14,"C5",286
"ID00024","C",20130701,16.16,"C11",260
"ID00024","A",20130709,15,"C3",172
"ID00024","B",20130714,17.86,"C1",246
"ID00024","A",20130717,16.94,"C4",436
"ID00025","C",20130710,16.43,"C5",392
"ID00025","B",20130723,16.65,"C19",157
"ID00025","C",20130724,16.79,"C7",398
"ID00025","C",20130728,16.55,"C15",203
"ID00026","B",20130711,16.34,"C2",240
"ID00026","C",20130727,15.26,"C15",280
"ID00027","C",20130702,16.09,"C3",255
"ID00027","B",20130711,12.72,"C30",205
"ID00027","C",20130721,16.96,"C14",413
"ID00028","B",20130701,14.16,"C19",355
"ID00028","B",20130717,17.07,"C18",221
"ID00029","A",20130701,18.18,"C28",71
"ID00030","B",20130703,17.92,"C13",322
"ID00030","B",20130716,15.52,"C11",246
"ID00030","B",20130731,13.83,"C7",224
"ID00031","A",20130710,15.12,"C12",269
"ID00031","B",20130722,11.71,"C24",430
"ID00031","C",20130726,16.39,"C3",279
"ID00032","A",20130714,17.04,"C27",364
"ID00033","C",20130712,15.6,"C29",345
"ID00033","C",20130716,16.87,"C17",219
"ID00033","B",20130721,13.54,"C29",401
"ID00034","B",20130710,17,"C9",388
"ID00035","C",20130706,15.99,"C2",190
"ID00035","B",20130729,13.84,"C3",291
"ID00036","C",20130722,15.41,"C9",346
"ID00036","B",20130728,17.16,"C25",196
"ID00036","C",20130729,16.61,"C17",317
