"顧客ID","店舗","購買日","購買時間","商品カテゴリ","購買金額"
"ID00001","B",20130912,16.49,"C14",227
"ID00001","C",20130915,16.23,"C22",269
"ID00001","A",20130915,16.66,"C15",319
"ID00002","C",20130929,14.03,"C20",427
"ID00004","B",20130905,13.44,"C22",367
"ID00004","B",20130907,15.06,"C14",313
"ID00004","A",20130909,17.94,"C15",293
"ID00004","C",20130910,13.87,"C3",315
"ID00004","C",20130917,16.94,"C18",316
"ID00005","C",20130906,15.88,"C10",270
"ID00005","C",20130906,16.77,"C20",463
"ID00005","B",20130907,15.89,"C23",264
"ID00005","A",20130929,15.99,"C11",299
"ID00006","A",20130907,15.83,"C13",306
"ID00006","C",20130910,13.71,"C10",392
"ID00006","B",20130920,14.68,"C26",261
"ID00006","C",20130927,16.14,"C23",196
"ID00006","C",20130928,15.42,"C30",255
"ID00009","B",20130901,16.58,"C13",207
"ID00009","C",20130905,13.89,"C11",362
"ID00009","A",20130905,16.25,"C15",328
"ID00009","B",20130918,14.82,"C29",339
"ID00009","C",20130918,16.54,"C18",299
"ID00010","C",20130901,14.88,"C24",402
"ID00010","C",20130913,14.13,"C24",183
"ID00010","C",20130925,19.69,"C25",276
"ID00011","C",20130907,16.99,"C2",325
"ID00011","C",20130911,16.01,"C22",292
"ID00011","A",20130913,15.14,"C2",256
"ID00011","C",20130917,15.18,"C8",303
"ID00011","B",20130920,16.38,"C7",333
"ID00012","A",20130921,17.64,"C29",255
"ID00012","B",20130930,17.72,"C9",288
"ID00013","B",20130901,18.91,"C1",227
"ID00013","A",20130903,15.03,"C23",227
"ID00013","B",20130925,16.5,"C13",235
"ID00013","B",20130925,16.52,"C20",337
"ID00014","C",20130925,16.7,"C26",241
"ID00014","A",20130927,12.64,"C6",256
"ID00015","B",20130907,20.33,"C8",337
"ID00016","B",20130906,15.65,"C15",374
"ID00016","A",20130924,17.23,"C12",371
"ID00017","B",20130901,15.31,"C23",170
"ID00018","B",20130915,16.37,"C8",249
"ID00018","B",20130924,15.99,"C16",324
"ID00018","C",20130929,16.28,"C15",134
"ID00019","B",20130912,14.48,"C1",206
"ID00020","C",20130921,16.79,"C16",238
"ID00020","A",20130927,17.06,"C23",456
"ID00021","C",20130910,15.98,"C15",134
"ID00021","C",20130924,14.08,"C19",364
"ID00022","C",20130917,17.57,"C22",444
"ID00022","C",20130919,18.35,"C28",305
"ID00022","C",20130921,15.73,"C29",292
"ID00022","B",20130922,14.57,"C2",354
"ID00022","C",20130924,15.17,"C19",295
"ID00023","C",20130919,15.9,"C25",267
"ID00024","C",20130918,15.58,"C24",362
"ID00025","C",20130926,14.57,"C1",334
"ID00025","C",20130930,15.37,"C27",302
"ID00026","B",20130905,16.67,"C24",174
"ID00026","B",20130916,18.53,"C18",141
"ID00026","B",20130917,15.97,"C9",454
"ID00026","A",20130922,14.26,"C27",358
"ID00026","B",20130926,16.93,"C21",287
"ID00027","B",20130911,18.5,"C18",402
"ID00027","B",20130921,17.64,"C24",345
"ID00027","A",20130929,17.6,"C21",228
"ID00028","C",20130907,16.3,"C27",232
"ID00029","B",20130918,16.48,"C6",116
"ID00030","A",20130902,14.47,"C2",267
"ID00031","C",20130904,18.37,"C6",189
"ID00031","A",20130915,12.76,"C4",288
"ID00031","B",20130929,20.02,"C3",311
"ID00032","C",20130902,13.16,"C27",301
"ID00032","A",20130924,19.22,"C9",317
"ID00033","C",20130927,15.22,"C27",304
"ID00034","B",20130904,14.32,"C6",265
"ID00036","B",20130928,15.92,"C17",284
